,Mimic enzyme activity,N,P,S,Si,Se,B,F,Cl,Br,I,Metal ratio,Metal type,Metal valence,Submetal ratio,Submetal type,Submetal valence,3rd metal ratio,3rd metal type,3rd metal valence,4th metal ratio,4th metal type,4th metal  valence,shape,Size/nm,Surface modification,Dispersion medium,Buffer pH value,Buffer pH,Temperature/℃,Substrate1,Substrate2,Substrate2 concentration(mM),Km/mM,Vmax/μM s-1,Kcat/s-1,"k cat /Km
(Catalytic efficiency )/M-1 s-1",Chemical_formula
Cu-GMP,1,1,1,0,0,0,0,0,0,0,0,100,29,2,33.3,30,2,16.78,27,2,15,23,4,0,1474,79,7,6.8,0,25,10,7,0.1,119.9,82.7,345000000,3.33E+13,148
Pt5,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,8.085,47,0,5.77,26.5,2.5,0,5.5,61,0,4.6,0,25,0,0,200,11.4,3.5,345000000,3.33E+13,149
Pt20,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,8.085,47,0,5.77,26.5,2.5,0,18.6,61,0,4.6,0,25,0,0,200,1.3,0.14,345000000,3.33E+13,150
Pt5,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,6.56,47,0,3.52,36.5,1.5,0,5.5,61,0,4.6,0,25,1,1,0.5,47.2,0.17,345000000,3.33E+13,149
Pt20,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,8.085,47,0,9.96,36.5,1,0,18.6,61,0,4.6,0,25,1,1,0.5,123.6,0.05,345000000,3.33E+13,150
BSA-Pt,0,1,0,0,0,0,0,0,0,0,0,57,78,0,43,78,2,8.085,47,0,9.375,26,2,0,2,80,2,4,0,25,0,0,125,0.12,0.21,345000000,3.33E+13,151
BSA-Pt,0,1,0,0,0,0,0,0,0,0,0,57,78,0,43,78,2,8.085,47,0,3.52,36.5,1.5,0,2,80,2,4,0,25,1,1,0.13,41.8,0.16,345000000,3.33E+13,151
RuO2,0,0,0,0,0,0,0,0,0,0,0,100,44,4,13.5,51,3.5,16.64,58,4,5.77,26.5,2.5,0,4,4,3,4,0,25,0,0,200,0.24,0.19,5428,23100000,152
RuO2,0,0,0,0,0,0,0,0,0,0,0,100,44,4,13.25,58,3,16.64,58,4,10.23,27,2.5,0,4,4,3,4,0,25,1,1,0.4,212,0.2,5857,25700,152
RuO2,2,0,0,0,0,0,0,0,0,0,0,100,44,4,23.915,42.5,2.5,16.64,58,4,10.23,27,2.5,0,4,4,3,7,1,25,1,2,0.165,400,968,440000,1100000,152
BSA-Au,0,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,4.63,46.5,0,11.375,24.5,3,0,200,80,0,3,0,40,0,0,400,0.1,0.06,345000000,3.33E+13,153
BSA-Au,0,1,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,7.455,46,0,3.25,46,0,0,200,80,0,3,0,40,1,1,0.5,25.3,0.07,345000000,3.33E+13,153
solvothermal CeVO4,1,0,0,0,0,0,0,0,0,0,0,50,23,5,34.71,58,3,15.29,58,4,5.5,36,1,5,15,4,3,7,1,25,11,2,0.26,0.02,0.3548,345000000,3.33E+13,154
sonochemical CeVO4,1,0,0,0,0,0,0,0,0,0,0,50,23,5,33.39,58,3,16.61,58,4,5.5,36,1,1,35,4,3,7,1,25,11,2,0.26,0.01,0.2513,345000000,3.33E+13,155
hydrothermal CeVO4,1,0,0,0,0,0,0,0,0,0,0,50,23,5,32.01,58,3,17.99,58,4,5.5,36,1,5,10,4,3,7,1,25,11,2,0.26,0.01,0.2322,345000000,3.33E+13,156
solvothermal CeVO4,4,0,0,0,0,0,0,0,0,0,0,50,23,5,34.71,58,3,15.29,58,4,5.5,36,1,5,15,4,8,4,2,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,154
sonochemical CeVO4,4,0,0,0,0,0,0,0,0,0,0,50,23,5,33.39,58,3,16.61,58,4,5.5,36,1,1,35,4,8,4,2,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,155
hydrothermal CeVO4,4,0,0,0,0,0,0,0,0,0,0,50,23,5,32.01,58,3,17.99,58,4,3.52,36.5,1.5,5,10,4,8,4,2,37,12,2,0.26,1.255,0.105,345000000,3.33E+13,156
Dex-NZM,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,8.085,47,0,9.375,26,2,0,11.4,81,0,4.5,0,25,1,1,532,0.03,0.105,345000000,3.33E+13,157
BSA- Ag NCs -Hg,1,0,0,0,0,0,0,0,0,0,0,100,47,0,33.3,30,2,4.075,62,0,3.25,46,0,0,2.23,82,0,4,0,10,0,8,0.26,0.12,0.21,345000000,3.33E+13,158
cp-Pt,4,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,6.56,47,0,3.25,46,0,0,4.7,72,3,7.5,2,25,12,2,0.26,1.255,0.105,345000000,3.33E+13,159
cp-Au/Pt,4,0,0,0,0,0,0,0,0,0,0,76,78,0,24,79,0,6.56,47,0,3.79,27,3,0,6.6,72,3,7.5,2,25,12,2,0.26,1.255,0.105,345000000,3.33E+13,160
cp-Au/Pt,4,0,0,0,0,0,0,0,0,0,0,53,78,0,48,79,0,9.61,47,0,3.79,27,3,0,6.6,72,3,7.5,2,25,12,2,0.26,1.255,0.105,345000000,3.33E+13,160
gold@platinum nanorods,1,0,0,1,0,0,0,0,0,0,0,50,79,0,50,78,0,9.61,47,0,16.67,27,2,4,60,83,2,1.2,0,23,13,9,0.26,0.1,0.1,345000000,3.33E+13,161
gold@platinum nanorods,1,0,0,1,0,0,0,0,0,0,0,50,79,0,50,78,0,9.61,47,0,16.67,27,2,4,60,83,2,4.6,0,23,13,9,0.26,0.1,0.01,345000000,3.33E+13,161
gold@platinum nanorods,1,0,0,1,0,0,0,0,0,0,0,50,79,0,50,78,0,9.61,47,0,16.67,27,2,4,60,83,2,7.4,1,23,13,9,0.26,0.1,0.1,345000000,3.33E+13,161
gold@platinum nanorods,1,0,0,1,0,0,0,0,0,0,0,50,79,0,50,78,0,9.61,47,0,16.67,27,2,4,60,83,2,9,2,23,13,9,0.26,0.1,0.1,345000000,3.33E+13,161
gold@platinum nanorods,1,0,0,1,0,0,0,0,0,0,0,50,79,0,50,78,0,9.61,47,0,16.67,27,2,4,60,83,2,11,2,23,13,9,0.26,0.1,0.01,345000000,3.33E+13,161
Au NPs,0,0,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,8.085,47,0,3.52,36.5,1.5,0,5.1,61,0,4,0,25,0,0,50,0.01,0.08,345000000,3.33E+13,162
Au NPs,0,0,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,8.085,47,0,3.52,36.5,1.5,0,5.1,61,0,4,0,25,1,1,0.02,33,0.06,345000000,3.33E+13,162
CoOxH-GO,0,0,0,0,0,0,0,0,0,0,0,100,27,3,33.3,30,2,24.845,25,4,15.585,26.5,2,1,240,11,9,7,1,25,14,0,1,0.1,0.1,345000000,3.33E+13,163
CoOxH—GOCN,0,1,0,0,0,0,0,0,0,0,0,100,27,3,33.3,30,2,16.67,28,2,15.585,26.5,2,1,240,84,9,7,1,25,14,0,1,0.1,0.1,345000000,3.33E+13,164
CoOxH-GO,0,0,0,0,0,0,0,0,0,0,0,100,27,3,33.3,30,2,24.845,25,4,15.585,26.5,2,1,240,11,9,7,1,25,1,10,0.01,3.07,0.1,345000000,3.33E+13,163
CoOxH—GOCN,0,1,0,0,0,0,0,0,0,0,0,100,27,3,33.3,30,2,16.67,28,2,15.585,26.5,2,1,240,84,9,7,1,25,1,10,0.01,3.68,0.1,345000000,3.33E+13,164
Fe3O4-N-GO,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,9.84,30,2,3.25,46,0,0,4,85,0,6.5,0,25,0,0,0.1,0.19,0.138,345000000,3.33E+13,165
Fe3O4-N-GO,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,9.84,30,2,3.25,46,0,0,4,85,0,6.5,0,25,1,1,0.03,1.02,0.0276,345000000,3.33E+13,165
Fe3O4-Au-GO,0,0,0,0,0,0,0,0,0,0,0,53.99,26,3,27,26,2,19.01,79,0,3.25,46,0,0,6,11,4,5,0,25,0,0,0.2,0.1,3.3678,345000000,3.33E+13,166
Fe3O4-Au-GO,0,0,0,0,0,0,0,0,0,0,0,53.99,26,3,27,26,2,19.01,79,0,9.375,26,2,0,6,11,4,5,0,25,1,1,200,113,7.9365,345000000,3.33E+13,166
PtNPs/rGO,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,5.3,0,4,5,0,25,0,0,20,0.08,0.47,345000000,3.33E+13,167
PtNPs/rGO,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,16.64,58,4,10.23,27,2.5,0,5.3,0,4,5,0,25,1,1,0.83,935,3.78,345000000,3.33E+13,167
GSF@AuNPs ,0,1,0,0,1,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.25,46,0,0,5,86,2,5,0,25,0,0,13,0.01,1.57,345000000,3.33E+13,168
GSF@AuNPs ,0,1,0,0,1,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.25,46,0,0,5,86,2,5,0,25,1,1,0.1,5.98,2.77,345000000,3.33E+13,168
Pt NPs,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,8.085,47,0,9.375,26,2,0,7,61,4,4,0,40,0,0,763,0.12,1.26,345000000,3.33E+13,7
Pt NPs,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,11.445,68,2,9.96,36.5,1,0,7,61,4,4,0,40,1,1,0.92,769,1.85,345000000,3.33E+13,7
Free MNPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.33,26,2,16.64,58,4,9.375,26,2,0,5,4,0,4,0,25,0,0,250,0.17,0.1723,345000000,3.33E+13,169
GO_MNP 0,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.33,26,2,16.64,58,4,9.375,26,2,0,5,11,0,4,0,25,0,0,250,0.14,0.1626,345000000,3.33E+13,170
GO_MNP-30,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.33,26,2,16.64,58,4,9.375,26,2,0,5,11,0,4,0,25,0,0,250,0.24,0.2252,345000000,3.33E+13,171
Free Pt NPs,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,18.005,26.5,2,5.77,26.5,2.5,0,4,4,0,4,0,25,0,0,250,3.42,4,345000000,3.33E+13,172
GO_Pt 0,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,18.005,26.5,2,5.77,26.5,2.5,0,4,11,0,4,0,25,0,0,250,0.62,1.27,345000000,3.33E+13,173
GO_MNP 0每Pt 0,0,0,0,0,0,0,0,0,0,0,0,45.84,26,3,31.24,78,0,22.92,26,2,5.77,26.5,2.5,0,4.5,11,0,4,0,25,0,0,250,0.44,2.1809,345000000,3.33E+13,174
GO_MNP-30每Pt 0,0,0,0,0,0,0,0,0,0,0,0,50,26,3,25,78,0,25,26,2,5.77,26.5,2.5,0,4.5,11,0,4,0,25,0,0,250,0.52,2.1263,345000000,3.33E+13,175
PtNPs/GO,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,16,31.5,2,9.375,26,2,0,50,11,3,5,0,30,0,0,400,0.19,0.1,345000000,3.33E+13,176
PtNPs/GO,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,15.95,58,4,10.23,27,2.5,0,50,11,3,5,0,30,1,1,0.8,221.4,0.12,345000000,3.33E+13,176
NiO,0,1,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,4.175,41.5,3,5.5,36,1,4,65,4,0,3.8,0,40,1,1,0.05,0.01,0.1,345000000,3.33E+13,177
NiO,0,1,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,15.95,58,4,9.96,36.5,1,4,65,4,0,3.8,0,40,0,0,25,208,0.01,345000000,3.33E+13,177
H2TCPP-NiO,0,1,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,4.63,46.5,0,3.25,46,0,4,65,74,0,3.8,0,45,1,1,0.05,0.01,0.48,345000000,3.33E+13,178
H2TCPP-NiO,0,1,0,0,0,0,0,0,0,0,0,100,28,2,33.3,30,2,7.455,46,0,9.96,36.5,1,4,65,74,0,3.8,0,45,0,0,25,39.1,0.01,345000000,3.33E+13,178
MSN-AuNPs ,0,0,0,0,1,0,0,0,0,0,0,100,79,0,33.3,30,2,8.085,47,0,3.25,46,0,0,4.46,87,3,4,0,35,0,0,50,0.04,0.13,345000000,3.33E+13,179
MSN-AuNPs ,0,0,0,0,1,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.25,46,0,0,4.46,87,3,4,0,35,1,1,0.8,15.81,0.17,345000000,3.33E+13,179
MSN-AuNPs ,1,0,0,0,1,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.25,46,0,0,4.46,87,3,4,0,35,0,2,0.26,0.22,0.12,345000000,3.33E+13,179
Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,9.84,30,2,3.25,46,0,5,5,88,0,5,0,25,0,0,5,0.49,0.16,345000000,3.33E+13,180
Co3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,27,2,9.84,30,2,3.25,46,0,5,5,88,0,5,0,25,1,1,0.5,1.9,0.13,345000000,3.33E+13,180
Ru NPs,0,0,0,0,0,0,0,0,0,0,0,100,44,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,25,4,0,3.2,0,25,0,0,0.1,0.23,0.08,345000000,3.33E+13,181
Ru NPs,0,0,0,0,0,0,0,0,0,0,0,100,44,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,25,4,0,3.2,0,25,1,1,0.1,2.21,0.58,345000000,3.33E+13,181
Ru NPs,1,0,0,0,0,0,0,0,0,0,0,100,44,0,33.3,30,2,2.28,62,0,3.79,27,3,0,25,4,2,7.4,2,25,0,2,0.26,54.92,0.01,345000000,3.33E+13,181
Ru NPs,1,0,0,0,0,0,0,0,0,0,0,100,44,0,33.3,30,2,2.28,62,0,3.79,27,3,0,25,4,2,7.4,2,25,15,2,0.26,0.16,0.04,345000000,3.33E+13,181
Fe3O4@MnO2,1,0,0,0,0,0,0,0,0,0,0,50.38,25,4,33.1,26,3,16.54,26,2,12.75,26,2,0,1000,4,0,4.5,0,25,0,2,0.26,0.12,0.07,345000000,3.33E+13,182
MnO2,1,0,0,0,0,0,0,0,0,0,0,100,25,4,33.3,30,2,1.35,58,4,3.25,46,0,1,200,4,0,4.5,0,25,0,2,0.26,0.18,0.06,345000000,3.33E+13,21
Cu-Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,53.92,29,0,46.08,46,0,16.64,58,4,9.375,26,2,0,4.36,0,0,4,0,35,0,0,50,0.21,0.04,345000000,3.33E+13,2
Cu-Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,53.92,29,0,46.08,46,0,15.66,58,3.5,3.52,36.5,1.5,0,4.36,0,0,4,0,35,1,1,0.5,8.07,0.07,345000000,3.33E+13,2
Cu/rGO,0,0,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,2.28,62,0,5.77,26.5,2.5,0,5.83,0,0,4,0,35,0,0,50,0.48,0.03,345000000,3.33E+13,1
Cu/rGO,0,0,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,5.83,0,0,4,0,35,1,1,0.5,13.56,0.1,345000000,3.33E+13,1
Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,2.28,62,0,5.77,26.5,2.5,0,6.67,0,0,4,0,35,0,0,50,0.4,0.03,345000000,3.33E+13,0
Pd/rGO,0,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,6.67,0,0,4,0,35,1,1,0.5,10.24,0.08,345000000,3.33E+13,0
Cu-Pd/g-C3N4,0,1,0,0,0,0,0,0,0,0,0,55.97,29,2,44.03,46,0,9.84,30,2,3.25,46,0,0,6.7,89,0,4,0,35,0,0,50,0.24,0.03,345000000,3.33E+13,3
Cu-Pd/g-C3N4,0,1,0,0,0,0,0,0,0,0,0,55.97,29,2,44.03,46,0,9.84,30,2,3.25,46,0,0,6.7,89,0,4,0,35,1,1,0.5,8.33,0.06,345000000,3.33E+13,3
Cu-Pd/MoS2,0,0,0,1,0,0,0,0,0,0,0,94.51,42,4,3.21,29,0,2.28,78,0,3.25,46,0,0,7.94,2,0,4,0,35,0,0,50,0.28,0.03,345000000,3.33E+13,5
Cu-Pd/MoS2,0,0,0,1,0,0,0,0,0,0,0,94.51,42,4,3.21,29,0,2.28,78,0,3.25,46,0,0,7.94,2,0,4,0,35,1,1,0.5,8.64,0.06,345000000,3.33E+13,5
GO-T10-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,0,0,6,0.09,0.12,345000000,3.33E+13,183
GO-T10-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,1,1,0.4,2.11,0.15,345000000,3.33E+13,183
GO-T20-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,0,0,6,0.12,0.08,345000000,3.33E+13,184
GO-T20-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,1,1,0.4,6.27,0.16,345000000,3.33E+13,184
GO-T30-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,0,0,6,0.13,0.08,345000000,3.33E+13,185
GO-T30-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,1,1,0.4,8.76,0.19,345000000,3.33E+13,185
GO-T40-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,0,0,6,0.14,0.07,345000000,3.33E+13,186
GO-T40-PtNPs,0,1,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.52,36.5,1.5,1,3.19,24,0,4.5,0,25,1,1,0.4,6.56,0.16,345000000,3.33E+13,186
Fe2NC ,2,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,24.845,25,4,15.585,26.5,2,3,200,4,3,7.4,2,37,1,2,0.26,110,2.71,345000000,3.33E+13,187
Fe1NC ,2,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,15.95,58,4,15.585,26.5,2,3,200,4,3,7.4,2,37,1,2,0.26,380,1.01,345000000,3.33E+13,188
Fe2NC,1,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,24.845,25,4,12.75,26,2,3,200,4,0,5.5,0,37,0,2,0.26,1.27,0.02,345000000,3.33E+13,189
Fe1NC,1,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,24.845,25,4,12.75,26,2,3,200,4,0,5.5,0,37,0,2,0.26,2.16,0.02,345000000,3.33E+13,190
Cu-NC,0,1,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,4.63,46.5,0,3.25,46,0,3,30,90,1,6.5,0,37,0,0,10,25.66,32,345000000,3.33E+13,191
NiCo2O4@PVP,2,1,0,0,0,0,0,0,0,0,0,66.67,27,2,33.33,28,2,16.67,28,2,15.585,26.5,2,0,268,60,3,7.4,2,37,1,2,0.26,89.9,0.105,345000000,3.33E+13,192
Cyt c,0,1,0,1,0,0,0,0,0,0,0,66.7,26,3,33.3,30,2,7.805,52,1.5,5.77,26.5,2.5,0,10,4,5,7.4,2,25,1,4,0.2,9.6,0.25,345000000,3.33E+13,193
Cyt c@PCN-222 NP,0,1,0,1,0,0,0,0,0,0,0,100,40,0,33.3,30,2,16.67,27,2,15.585,26.5,2,4,567,4,5,7.4,2,25,1,4,0.2,3.7,0.42,345000000,3.33E+13,194
 Ru NCs/LDH,0,0,0,0,0,0,0,0,0,0,0,100,44,3,33.3,30,2,1.815,52,2,3.52,36.5,1.5,1,40,4,0,5.5,0,37,0,0,7,0.15,0.31,345000000,3.33E+13,195
 Ru NCs/LDH,0,0,0,0,0,0,0,0,0,0,0,100,44,3,33.3,30,2,1.815,52,2,3.52,36.5,1.5,1,40,4,0,5.5,0,37,1,1,4,0.46,0.44,345000000,3.33E+13,195
Ru1/LDH,0,0,0,0,0,0,0,0,0,0,0,100,44,3,33.3,30,2,1.815,52,2,3.52,36.5,1.5,1,40,4,0,5.5,0,37,0,0,7,0.12,1.89,345000000,3.33E+13,196
Ru1/LDH,0,0,0,0,0,0,0,0,0,0,0,100,44,3,33.3,30,2,1.815,52,2,3.52,36.5,1.5,1,40,4,0,5.5,0,37,1,1,4,0.1,1.42,345000000,3.33E+13,196
 5∩-end-DBA-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,7,5.5,0,25,16,0,5,0.23,0.03,0.1,112903.595,197
 3∩-end-DBA-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,7,5.5,0,25,16,0,5,0.25,0.03,0.1,112903.595,198
5∩-end-DBA-(TGTA)--Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,7,5.5,0,25,16,0,5,0.23,0.03,0.1,112903.595,199
5∩-end-DBA-(TGTA)2-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,7,5.5,0,25,16,0,5,0.18,0.03,0.1,112903.595,200
5∩-end-DBA-(TGTA)3-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,7,5.5,0,25,16,0,5,0.32,0.02,0.1,112903.595,201
 5∩-end-TBA-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,3,7.2,2,25,17,0,5,0.44,0.02,0.1,112903.595,202
 3∩-end-TBA-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,3,7.2,2,25,17,0,5,0.46,0.02,0.1,112903.595,203
5∩-end-TBA-(TGTA)-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,3,7.2,2,25,17,0,5,0.42,0.03,0.1,112903.595,204
5∩-end-TBA-(TGTA)2-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,3,7.2,2,25,17,0,5,0.36,0.03,0.1,112903.595,205
5∩-end-TBA-(TGTA)3-Cu2+ -CDs,0,1,0,0,0,0,0,0,0,0,0,100,29,2,2.415,23,5,1.815,52,2,3.25,46,0,0,10,24,3,7.2,2,25,17,0,5,0.53,0.02,0.1,112903.595,206
Mn/PSAE,1,1,1,0,0,0,0,0,0,0,0,100,25,0,33.3,30,2,16.67,28,2,15.585,26.5,2,5,230,91,0,5,0,25,0,2,0.26,0.11,0.07,345000000,3.33E+13,207
Mn/PSAE,0,1,1,0,0,0,0,0,0,0,0,100,25,0,33.3,30,2,16.67,28,2,15.585,26.5,2,5,230,92,0,5,0,25,0,0,1,0.14,0.3,345000000,3.33E+13,207
Mn/PSAE,0,1,1,0,0,0,0,0,0,0,0,100,25,0,33.3,30,2,16.67,28,2,15.585,26.5,2,5,230,93,0,5,0,25,1,0,1,0.09,0.16,345000000,3.33E+13,207
PEG-Pd SAzymes ,0,1,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,16.67,28,2,9.96,36.5,1,3,150,94,10,6.5,0,42,1,1,0.63,1.79,0.15,345000000,3.33E+13,208
PEG-SHylated Cu-HCF,0,0,0,1,0,0,0,0,0,0,0,61,29,2,39,29,1,16.67,28,2,16.67,27,2,5,100,95,6,4,3,40,8,0,0.26,0.14,18.9,345000000,3.33E+13,209
GSH treated PEG-SHylated Cu-HCF,0,1,0,1,0,0,0,0,0,0,0,61,29,2,39,29,1,16.67,28,2,16.67,27,2,5,100,96,6,4,3,40,8,0,0.26,0.09,25.7,345000000,3.33E+13,210
PEG-SHylated Cu-HCF,0,0,0,1,0,0,0,0,0,0,0,61,29,2,39,29,1,13.14,36.5,1,16.67,27,2,5,100,95,6,4,3,40,1,1,0.63,105,11.4,345000000,3.33E+13,209
GSH treated PEG-SHylated Cu-HCF,0,1,0,1,0,0,0,0,0,0,0,61,29,2,39,29,1,11.615,36.5,1,16.67,27,2,5,100,96,6,4,3,40,1,1,0.63,71.9,17.2,345000000,3.33E+13,210
Cu-NC-700,0,1,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,1.815,52,2,3.52,36.5,1.5,5,25,4,0,3.5,0,37,0,0,0.1,0.08,0.06,345000000,3.33E+13,211
Cu-NC-700,0,1,0,0,0,0,0,0,0,0,0,100,29,0,33.3,30,2,1.815,52,2,3.52,36.5,1.5,5,25,4,0,3.5,0,37,1,1,0.15,0.93,0.43,345000000,3.33E+13,211
MIL-53(Fe)/G4-hemin,0,1,1,0,0,0,0,0,0,0,0,66.67,26,3,33.33,26,2,24.845,25,4,15.585,26.5,2,3,250,4,11,6,0,37,3,0,0.1,0.17,0.01,345000000,3.33E+13,212
MIL-53(Fe)/G4-hemin,0,1,1,0,0,0,0,0,0,0,0,66.67,26,3,33.33,26,2,24.845,25,4,15.585,26.5,2,3,250,4,11,6,0,37,1,4,0.1,0.14,0.07,345000000,3.33E+13,212
MIL-101(Fe),0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,16.67,28,2,15.585,26.5,2,3,200,97,0,3.5,0,25,1,1,15,0.24,0.16,345000000,3.33E+13,213
MIL-101(CuFe),0,0,0,0,0,0,0,0,0,0,0,66.67,26,3,33.33,29,2,16.67,28,2,15.585,26.5,2,3,200,97,0,3.5,0,25,1,1,15,0.03,0.27,345000000,3.33E+13,214
MIL-101(CuFe)-CD147,0,1,0,1,0,0,0,0,0,0,0,66.67,26,3,33.33,29,2,16.67,28,2,15.585,26.5,2,3,200,97,0,3.5,0,25,1,1,15,0.24,0.17,345000000,3.33E+13,215
 cobalt-doped Ti3C2 MXene,0,0,0,0,0,0,0,0,0,0,0,91,22,2,9,27,2,24.845,25,4,15.585,26.5,2,1,230,4,10,6,0,25,0,0,1,0.4,0.02,345000000,3.33E+13,216
 cobalt-doped Ti3C2 MXene,0,0,0,0,0,0,0,0,0,0,0,91,22,2,9,27,2,24.845,25,4,15.585,26.5,2,1,230,4,10,6,0,25,1,1,0.5,0.15,0.05,345000000,3.33E+13,216
ZnBNC,0,1,0,0,0,0,1,0,0,0,0,100,30,0,33.3,30,2,24.845,25,4,15.585,26.5,2,3,200,4,0,4,0,25,0,0,1.24,0.11,0.11,345000000,3.33E+13,217
